       Step     Time          Energy         fmax
MDMin:    0 19:17:24        4.275175        3.7501
MDMin:    1 19:17:24        3.872196        1.7917
MDMin:    2 19:17:24        3.731054        0.5028
MDMin:    3 19:17:24        3.719275        0.3939
MDMin:    4 19:17:24        3.702491        0.1855
MDMin:    5 19:17:24        3.695923        0.1233
MDMin:    6 19:17:24        3.692169        0.0861
MDMin:    7 19:17:24        3.692341        0.1951
MDMin:    8 19:17:24        3.691150        0.1444
MDMin:    9 19:17:24        3.689785        0.0413
